"team","games","sacks","fumbleRecoveries","interceptions","defenseTouchdowns","safeties","blockedKicks","kickYards","kickTouchdowns","puntYards","puntTouchdowns","paPerGame","pa0Games","pa16Games","pa713Games","pa1420Games","pa2127Games","pa2834Games","pa3545Games","pa46plusGames","passYdsPerGame","runYdsPerGame","yaNegGames","ya099Games","ya100199Games","ya200299Games","ya300349Games","ya350399Games","ya400449Games","ya450499Games","ya500549Games","ya550plusGames","fantasyPts","fantasyPpg"
"ARZ","16","50","9","7","3","0","1","536","0","295","0","26.6","0","0","0","6","5","2","3","0","224.7","154.9","0","0","0","2","6","1","5","2","0","0","99","6.19"
"ATL","16","37","4","15","2","0","1","689","0","147","0","26.4","0","0","1","4","3","5","3","0","275.5","124.9","0","0","0","1","4","3","3","3","2","0","79","4.94"
"BLT","16","43","5","12","3","0","0","707","0","404","1","17.9","1","1","3","4","5","1","1","0","228.2","82.9","0","0","3","5","2","2","2","2","0","0","129","8.06"
"BUF","16","36","11","16","0","1","0","807","0","207","0","23.4","0","1","3","2","6","1","2","1","192.8","114.9","0","0","2","5","2","5","2","0","0","0","100","6.25"
"CAR","16","35","9","13","0","0","0","582","0","165","0","23.9","0","0","2","3","6","4","0","1","253.9","112.8","0","0","0","2","5","3","5","1","0","0","82","5.13"
"CHI","16","50","9","27","6","1","0","441","0","411","0","17.7","0","1","5","5","2","2","1","0","240.9","80","0","0","1","6","3","4","1","0","1","0","186","11.63"
"CIN","16","33","6","12","5","0","1","1071","0","236","0","28.4","0","0","0","3","6","3","3","1","286.7","137.6","0","0","0","0","4","4","2","2","2","2","84","5.25"
"CLV","16","37","14","17","0","1","2","884","0","290","0","24.5","0","0","1","6","4","2","3","0","273.1","135","0","0","0","3","1","3","3","4","1","1","99","6.19"
"DAL","16","39","11","9","1","0","0","283","0","119","0","20.3","0","0","3","6","5","1","1","0","249","94.6","0","0","1","2","5","4","3","1","0","0","98","6.13"
"DEN","16","44","10","17","2","0","4","604","0","131","0","21.8","0","0","2","5","7","2","0","0","265","119.6","0","0","0","3","3","4","2","2","2","0","125","7.81"
"DET","16","43","7","7","2","0","0","482","0","171","0","22.5","1","1","1","2","6","4","0","1","243.6","109.6","0","0","0","4","3","4","4","0","1","0","98","6.13"
"GB","16","44","8","7","2","0","1","644","0","198","0","25","1","0","1","2","4","7","1","0","254.6","119.9","0","0","0","2","4","4","4","2","0","0","98","6.13"
"HST","16","43","14","15","4","0","1","487","0","327","0","19.8","0","1","3","4","6","2","0","0","279.8","82.7","0","0","1","3","3","3","4","0","2","0","147","9.19"
"IND","16","37","11","15","0","0","2","337","0","217","0","21.5","1","2","2","2","4","2","3","0","252.1","101.6","0","0","0","3","5","4","3","1","0","0","111","6.94"
"JAX","16","37","6","11","2","1","0","532","0","334","1","19.8","1","0","3","6","2","3","1","0","209.6","116.9","0","0","0","6","4","3","3","0","0","0","112","7"
"KC","16","52","12","15","4","0","1","975","0","261","1","26.3","0","1","1","2","5","3","3","1","295.1","132.1","0","0","0","1","3","0","4","5","3","0","131","8.19"
"MIA","16","31","7","21","3","0","2","938","1","293","1","27.1","0","1","1","4","2","4","4","0","258.8","145.3","0","0","0","1","2","4","5","4","0","0","114","7.13"
"MIN","16","50","8","12","3","0","0","540","0","315","0","21.3","0","0","2","5","6","2","1","0","218.8","113.4","0","0","0","7","4","3","0","1","0","1","115","7.19"
"NE","16","30","10","18","3","0","2","752","1","199","0","20.3","0","2","4","3","2","4","1","0","261.3","112.9","0","0","1","3","1","5","3","3","0","0","143","8.94"
"NO","16","49","12","12","1","0","2","560","0","157","0","22.1","0","0","3","7","1","2","2","1","288.9","80.2","0","0","0","2","6","2","4","1","1","0","110","6.88"
