score_home,score_away,team_home,team_away,schedule_date,schedule_season,schedule_week,total_score,1s_0es_id,team_id,wins_losses
27,42,NE,KC,9/7/2017,2017,1,69,0,NE,loss 
21,12,BUF,NYJ,9/10/2017,2017,1,33,1,BUF,win
17,23,CHI,ATL,9/10/2017,2017,1,40,0,ATL,loss 
0,20,CIN,BLT,9/10/2017,2017,1,20,0,CIN,loss 
18,21,CLV,PIT,9/10/2017,2017,1,39,0,PIT,loss 
19,3,DAL,NYG,9/10/2017,2017,1,22,1,DAL,win
35,23,DET,ARZ,9/10/2017,2017,1,58,1,ARZ,win
17,9,GB,SEA,9/10/2017,2017,1,26,1,GB,win
7,29,HST,JAX,9/10/2017,2017,1,36,0,HST,loss 
46,9,LA,IND,9/10/2017,2017,1,55,1,IND,win
3,23,SF,CAR,9/10/2017,2017,1,26,0,CAR,loss 
16,26,TEN,OAK,9/10/2017,2017,1,42,0,TEN,loss 
17,30,WAS,PHI,9/10/2017,2017,1,47,0,PHI,loss 
24,21,DEN,LAC,9/11/2017,2017,1,45,1,DEN,win
29,19,MIN,NO,9/11/2017,2017,1,48,1,MIN,win
9,13,CIN,HST,9/14/2017,2017,2,22,0,CIN,loss 
34,23,ATL,GB,9/17/2017,2017,2,57,1,ATL,win
24,10,BLT,CLV,9/17/2017,2017,2,34,1,BLT,win
9,3,CAR,BUF,9/17/2017,2017,2,12,1,CAR,win
42,17,DEN,DAL,9/17/2017,2017,2,59,1,DAL,win
13,16,IND,ARZ,9/17/2017,2017,2,29,0,ARZ,loss 
16,37,JAX,TEN,9/17/2017,2017,2,53,0,TEN,loss 
27,20,KC,PHI,9/17/2017,2017,2,47,1,KC,win
17,19,LAC,MIA,9/17/2017,2017,2,36,0,LAC,loss 
20,27,LA,WAS,9/17/2017,2017,2,47,0,LA,loss 
20,36,NO,NE,9/17/2017,2017,2,56,0,NE,loss 
45,20,OAK,NYJ,9/17/2017,2017,2,65,1,OAK,win
26,9,PIT,MIN,9/17/2017,2017,2,35,1,PIT,win
12,9,SEA,SF,9/17/2017,2017,2,21,1,SEA,win
29,7,TB,CHI,9/17/2017,2017,2,36,1,TB,win
10,24,NYG,DET,9/18/2017,2017,2,34,0,NYG,loss 
39,41,SF,LA,9/21/2017,2017,3,80,0,LA,loss 
26,16,BUF,DEN,9/24/2017,2017,3,42,1,DEN,win
13,34,CAR,NO,9/24/2017,2017,3,47,0,CAR,loss 
23,17,CHI,PIT,9/24/2017,2017,3,40,1,PIT,win
26,30,DET,ATL,9/24/2017,2017,3,56,0,ATL,loss 
27,24,GB,CIN,9/24/2017,2017,3,51,1,GB,win
31,28,IND,CLV,9/24/2017,2017,3,59,1,CLV,win
44,7,JAX,BLT,9/24/2017,2017,3,51,1,BLT,win
10,24,LAC,KC,9/24/2017,2017,3,34,0,KC,loss 
34,17,MIN,TB,9/24/2017,2017,3,51,1,TB,win
36,33,NE,HST,9/24/2017,2017,3,69,1,NE,win
20,6,NYJ,MIA,9/24/2017,2017,3,26,1,MIA,win
27,24,PHI,NYG,9/24/2017,2017,3,51,1,PHI,win
33,27,TEN,SEA,9/24/2017,2017,3,60,1,TEN,win
27,10,WAS,OAK,9/24/2017,2017,3,37,1,OAK,win
17,28,ARZ,DAL,9/25/2017,2017,3,45,0,DAL,loss 
35,14,GB,CHI,9/28/2017,2017,4,49,1,GB,win
18,15,ARZ,SF,10/1/2017,2017,4,33,1,ARZ,win
17,23,ATL,BUF,10/1/2017,2017,4,40,0,ATL,loss 
9,26,BLT,PIT,10/1/2017,2017,4,35,0,PIT,loss 
7,31,CLV,CIN,10/1/2017,2017,4,38,0,CIN,loss 
30,35,DAL,LA,10/1/2017,2017,4,65,0,DAL,loss 
16,10,DEN,OAK,10/1/2017,2017,4,26,1,DEN,win
57,14,HST,TEN,10/1/2017,2017,4,71,1,TEN,win
24,26,LAC,PHI,10/1/2017,2017,4,50,0,LAC,loss 
0,20,MIA,NO,10/1/2017,2017,4,20,0,NO,loss 
7,14,MIN,DET,10/1/2017,2017,4,21,0,MIN,loss 
30,33,NE,CAR,10/1/2017,2017,4,63,0,NE,loss 
23,20,NYJ,JAX,10/1/2017,2017,4,43,1,JAX,win
46,17,SEA,IND,10/1/2017,2017,4,63,1,SEA,win
25,23,TB,NYG,10/1/2017,2017,4,48,1,TB,win
29,20,KC,WAS,10/2/2017,2017,4,49,1,KC,win
14,19,TB,NE,10/5/2017,2017,5,33,0,NE,loss 
20,16,CIN,BUF,10/8/2017,2017,5,36,1,CIN,win
14,17,CLV,NYJ,10/8/2017,2017,5,31,0,NYJ,loss 
31,35,DAL,GB,10/8/2017,2017,5,66,0,DAL,loss 
24,27,DET,CAR,10/8/2017,2017,5,51,0,DET,loss 
34,42,HST,KC,10/8/2017,2017,5,76,0,KC,loss 
26,23,IND,SF,10/8/2017,2017,5,49,1,IND,win
10,16,LA,SEA,10/8/2017,2017,5,26,0,LA,loss 
16,10,MIA,TEN,10/8/2017,2017,5,26,1,TEN,win
22,27,NYG,LAC,10/8/2017,2017,5,49,0,NYG,loss 
17,30,OAK,BLT,10/8/2017,2017,5,47,0,OAK,loss 
34,7,PHI,ARZ,10/8/2017,2017,5,41,1,PHI,win
9,30,PIT,JAX,10/8/2017,2017,5,39,0,PIT,loss 
17,20,CHI,MIN,10/9/2017,2017,5,37,0,MIN,loss 
23,28,CAR,PHI,10/12/2017,2017,6,51,0,CAR,loss 
38,33,ARZ,TB,10/15/2017,2017,6,71,1,TB,win
17,20,ATL,MIA,10/15/2017,2017,6,37,0,ATL,loss 
24,27,BLT,CHI,10/15/2017,2017,6,51,0,BLT,loss 
10,23,DEN,NYG,10/15/2017,2017,6,33,0,DEN,loss 
33,17,HST,CLV,10/15/2017,2017,6,50,1,HST,win
17,27,JAX,LA,10/15/2017,2017,6,44,0,JAX,loss 
13,19,KC,PIT,10/15/2017,2017,6,32,0,KC,loss 
23,10,MIN,GB,10/15/2017,2017,6,33,1,GB,win
52,38,NO,DET,10/15/2017,2017,6,90,1,NO,win
17,24,NYJ,NE,10/15/2017,2017,6,41,0,NE,loss 
16,17,OAK,LAC,10/15/2017,2017,6,33,0,OAK,loss 
26,24,WAS,SF,10/15/2017,2017,6,50,1,WAS,win
36,22,TEN,IND,10/16/2017,2017,6,58,1,TEN,win
31,30,OAK,KC,10/19/2017,2017,7,61,1,KC,win
30,27,BUF,TB,10/22/2017,2017,7,57,1,BUF,win
17,3,CHI,CAR,10/22/2017,2017,7,20,1,CAR,win
9,12,CLV,TEN,10/22/2017,2017,7,21,0,TEN,loss 
17,26,GB,NO,10/22/2017,2017,7,43,0,NO,loss 
0,27,IND,JAX,10/22/2017,2017,7,27,0,JAX,loss 
21,0,LAC,DEN,10/22/2017,2017,7,21,1,DEN,win
33,0,LA,ARZ,10/22/2017,2017,7,33,1,LA,win
31,28,MIA,NYJ,10/22/2017,2017,7,59,1,MIA,win
24,16,MIN,BLT,10/22/2017,2017,7,40,1,MIN,win
23,7,NE,ATL,10/22/2017,2017,7,30,1,NE,win
7,24,NYG,SEA,10/22/2017,2017,7,31,0,SEA,loss 
29,14,PIT,CIN,10/22/2017,2017,7,43,1,PIT,win
10,40,SF,DAL,10/22/2017,2017,7,50,0,DAL,loss 
34,24,PHI,WAS,10/23/2017,2017,7,58,1,PHI,win
40,0,BLT,MIA,10/26/2017,2017,8,40,1,BLT,win
34,14,BUF,OAK,10/29/2017,2017,8,48,1,BUF,win
24,23,CIN,IND,10/29/2017,2017,8,47,1,CIN,win
16,33,CLV,MIN,10/29/2017,2017,8,49,0,MIN,loss 
15,20,DET,PIT,10/29/2017,2017,8,35,0,PIT,loss 
21,13,NE,LAC,10/29/2017,2017,8,34,1,NE,win
