"team","games","sacks","fumbleRecoveries","interceptions","defenseTouchdowns","safeties","blockedKicks","kickYards","kickTouchdowns","puntYards","puntTouchdowns","paPerGame","pa0Games","pa16Games","pa713Games","pa1420Games","pa2127Games","pa2834Games","pa3545Games","pa46plusGames","passYdsPerGame","runYdsPerGame","yaNegGames","ya099Games","ya100199Games","ya200299Games","ya300349Games","ya350399Games","ya400449Games","ya450499Games","ya500549Games","ya550plusGames","fantasyPts","fantasyPpg"
"ARZ","16","40","10","7","0","0","1","764","0","168","0","27.6","0","0","1","0","7","6","2","0","299.1","120.1","0","0","0","2","1","3","3","4","2","1","65","4.06"
"ATL","16","28","8","12","1","0","1","571","0","266","1","24.9","0","1","2","2","6","2","2","1","258.6","110.9","0","0","0","2","5","5","3","0","0","1","84","5.25"
"BLT","16","35","12","13","6","1","2","493","0","206","0","17.6","0","1","4","7","2","1","1","0","223.9","92.9","0","0","1","7","4","2","0","0","2","0","150","9.38"
"BUF","16","44","9","14","0","1","2","802","1","243","0","16.2","0","1","4","7","3","1","0","0","213.8","103.1","0","0","1","7","2","4","1","1","0","0","129","8.06"
"CAR","16","54","7","14","1","2","2","677","0","165","0","29.4","0","0","1","3","3","5","3","1","249.8","143.5","0","0","0","2","2","5","4","2","1","0","94","5.88"
"CHI","16","32","9","10","1","1","0","903","1","302","0","18.6","0","1","2","7","5","0","1","0","237.3","102","0","0","0","5","2","6","3","0","0","0","102","6.38"
"CIN","16","31","5","11","0","1","0","1091","1","164","0","26.3","0","1","0","2","9","1","2","1","257.6","148.9","0","0","0","1","4","3","2","2","3","1","67","4.19"
"CLV","16","38","6","14","1","0","2","830","0","161","0","24.6","0","1","1","4","4","4","2","0","233.2","145.3","0","0","0","2","4","4","2","4","0","0","89","5.56"
"DAL","16","39","10","7","1","0","0","325","0","131","0","20.1","0","1","3","4","5","3","0","0","242.4","103.5","0","0","0","3","6","5","1","1","0","0","99","6.19"
"DEN","16","40","7","10","1","0","1","534","0","208","0","19.8","1","0","1","7","6","1","0","0","243.3","111.4","0","0","0","5","2","4","2","3","0","0","101","6.31"
"DET","16","28","11","7","1","0","0","564","1","246","1","26.4","0","0","1","3","7","2","3","0","296.1","115.9","0","0","0","2","1","2","6","2","3","0","75","4.69"
"GB","16","41","7","17","0","0","1","667","0","98","0","19.6","0","1","3","5","5","1","1","0","252.1","120.3","0","0","1","2","4","3","3","2","0","1","109","6.81"
"HST","16","31","10","12","2","0","2","308","0","214","0","24.1","0","1","1","4","4","3","3","0","280.7","121.1","0","0","0","0","4","6","2","3","1","0","89","5.56"
"IND","16","41","8","15","1","2","0","707","0","418","2","23.3","0","1","3","3","3","4","2","0","264.4","97.9","0","0","0","4","3","5","2","1","1","0","119","7.44"
