,Player,Week,Opponet ,Win/Loss,Rushing Attempts,Total Rushing Yards,Rushing Touchdowns,Passes Targetted,Passes caught,Total passing yards,Recieving_Touchdowns,Fantasy Points Per Game
0,Tevin Coleman,1,at TB,W 31-17,6,23,0,3,2,33,0,5.6
1, Raheem Mostert,1,at TB,W 31-17,9,40,0,1,1,0,0,4.0
2, Matt Breida,1,at TB,W 31-17,15,37,0,1,0,0,0,3.7
3, Raheem Mostert,2,at CIN,W 41-17,13,83,0,4,3,68,1,21.1
4, Jeff Wilson,2,at CIN,W 41-17,10,34,2,0,0,0,0,15.4
5, Matt Breida,2,at CIN,W 41-17,12,121,0,1,1,11,0,13.2
6, Kyle Juszczyk,2,at CIN,W 41-17,1,6,0,2,1,5,0,1.1
7, Jeff Wilson,3,PIT,W 24-20,8,18,2,1,0,0,0,13.8
8, Matt Breida,3,PIT,W 24-20,14,68,0,3,2,20,0,8.8
9, Raheem Mostert,3,PIT,W 24-20,12,79,0,1,0,0,0,7.9
10, Kyle Juszczyk,3,PIT,W 24-20,0,0,0,3,3,51,0,5.1
11, Matt Breida,5,CLE,W 31-3,11,114,1,3,3,15,1,24.9
12, Tevin Coleman,5,CLE,W 31-3,16,97,1,0,0,0,0,15.7
13, Raheem Mostert,5,CLE,W 31-3,7,34,0,0,0,0,0,3.4
14, Kyle Juszczyk,5,CLE,W 31-3,0,0,0,3,2,20,0,2.0
15, Tevin Coleman,6,at LAR,W 20-7,18,45,1,3,2,16,0,12.1
16, Matt Breida,6,at LAR,W 20-7,13,36,0,4,4,27,0,6.3
17, Raheem Mostert,6,at LAR,W 20-7,4,13,0,0,0,0,0,1.3
18, Tevin Coleman,7,at WAS,W 9-0,20,62,0,2,2,-1,0,6.1
19, Matt Breida,7,at WAS,W 9-0,8,35,0,1,1,1,0,3.6
20, Jeff Wilson,7,at WAS,W 9-0,5,20,0,0,0,0,0,2.0
21, Tevin Coleman,8,CAR,W 51-13,11,105,3,2,2,13,1,35.8
22, Raheem Mostert,8,CAR,W 51-13,9,60,1,0,0,0,0,12.0
23, Matt Breida,8,CAR,W 51-13,11,35,0,1,1,15,0,5.0
24, Jeff Wilson,8,CAR,W 51-13,2,6,0,0,0,0,0,0.6
25, Matt Breida,9,at ARI,W 28-25,15,78,0,2,2,14,0,9.2
26, Tevin Coleman,9,at ARI,W 28-25,12,23,0,4,2,13,0,3.6
27, Jeff Wilson,9,at ARI,W 28-25,0,0,0,1,1,2,0,0.2
28, Raheem Mostert,9,at ARI,W 28-25,1,-2,0,0,0,0,0,-0.2
29, Tevin Coleman,10,SEA,L 24-27,9,40,0,4,4,32,0,7.2
30, Raheem Mostert,10,SEA,L 24-27,6,28,0,1,1,7,0,3.5
31, Matt Breida,10,SEA,L 24-27,10,18,0,2,2,7,0,2.5
32, Kyle Juszczyk,10,SEA,L 24-27,0,0,0,1,0,0,0,0.0
33, Jeff Wilson,11,ARI,W 36-26,0,0,0,1,1,25,1,8.5
34, Kyle Juszczyk,11,ARI,W 36-26,0,0,0,7,7,63,0,6.3
35, Tevin Coleman,11,ARI,W 36-26,12,14,0,4,3,48,0,6.2
36, Raheem Mostert,11,ARI,W 36-26,6,13,0,3,2,14,0,2.7
37, Raheem Mostert,12,GB,W 37-8,6,45,1,3,1,22,0,12.7
38, Tevin Coleman,12,GB,W 37-8,11,39,1,4,2,10,0,10.9
39, Jeff Wilson,12,GB,W 37-8,2,27,0,1,0,0,0,2.7
40, Raheem Mostert,13,at BAL,L 17-20,19,146,1,2,2,8,0,21.4
41, Tevin Coleman,13,at BAL,L 17-20,5,6,0,1,1,9,0,1.5
42, Jeff Wilson,13,at BAL,L 17-20,0,0,0,1,1,7,0,0.7
43, Raheem Mostert,14,at NO,W 48-46,10,69,1,2,2,40,1,22.9
44, Matt Breida,14,at NO,W 48-46,6,54,0,1,1,4,0,5.8
45, Kyle Juszczyk,14,at NO,W 48-46,0,0,0,3,3,22,0,2.2
46, Tevin Coleman,14,at NO,W 48-46,3,6,0,0,0,0,0,0.6
47, Raheem Mostert,15,ATL,L 22-29,14,54,1,2,1,5,0,11.9
48, Kyle Juszczyk,15,ATL,L 22-29,2,1,0,2,2,6,1,6.7
49, Tevin Coleman,15,ATL,L 22-29,4,40,0,1,0,0,0,4.0
50, Matt Breida,15,ATL,L 22-29,4,11,0,2,2,6,0,1.7
51, Raheem Mostert,16,LAR,W 34-31,11,53,1,1,0,0,0,11.3
52, Tevin Coleman,16,LAR,W 34-31,5,33,0,0,0,0,0,3.3
53, Kyle Juszczyk,16,LAR,W 34-31,0,0,0,2,1,23,0,2.3
54, Raheem Mostert,17,at SEA,W 26-21,10,57,2,2,1,16,0,19.3
55, Kyle Juszczyk,17,at SEA,W 26-21,0,0,0,1,1,49,0,4.9
56, Tevin Coleman,17,at SEA,W 26-21,5,11,0,2,1,7,0,1.8
57, Matt Breida,17,at SEA,W 26-21,4,16,0,1,0,0,0,1.6
58, Austin Ekeler,1,IND,W 30-24,12,58,1,7,6,96,2,33.4
59, Justin Jackson,1,IND,W 30-24,6,57,0,3,1,4,0,6.1
60, Derek Watt,1,IND,W 30-24,2,4,0,0,0,0,0,0.4
61, Austin Ekeler,2,at DET,L 10-13,17,66,1,6,6,67,0,19.3
62, Justin Jackson,2,at DET,L 10-13,7,59,0,1,1,5,0,6.4
63, Derek Watt,2,at DET,L 10-13,0,0,0,2,1,3,0,0.3
64, Austin Ekeler,3,HOU,L 20-27,9,36,0,7,7,45,0,8.1
65, Justin Jackson,3,HOU,L 20-27,5,26,0,4,4,4,0,3.0
66, Derek Watt,3,HOU,L 20-27,1,-1,0,0,0,0,0,-0.1
67, Austin Ekeler,4,at MIA,W 30-10,18,60,1,5,5,62,1,24.2
